"Tahun","SD/MI","SMP/Sederajat","SMA/Sederajat","Perguruan Tinggi"
"1994","  92.11 ","  50.03 ","  33.22 ","  7.92 "
"1995","  91.45 ","  50.96 ","  32.60 ","  7.15 "
"1996","  91.46 ","  54.53 ","  34.80 ","  7.68 "
"1997","  92.34 ","  57.84 ","  36.61 ","  7.68 "
"1998","  92.09 ","  56.96 ","  37.23 ","  8.04 "
"1999","  92.70 ","  59.23 ","  38.49 ","  8.23 "
"2000","  92.28 ","  60.27 ","  39.33 ","  7.95 "
"2001","  92.88 ","  60.47 ","  37.13 ","  7.99 "
"2002","  92.70 ","  61.64 ","  38.11 ","  8.09 "
"2003","  92.55 ","  63.49 ","  40.56 ","  8.55 "
"2004","  93.04 ","  65.24 ","  42.96 ","  8.57 "
"2005","  93.25 ","  65.37 ","  43.50 ","  8.71 "
"2006","  93.54 ","  66.52 ","  43.77 ","  8.87 "
"2007","  93.75 ","  66.64 ","  44.56 ","  9.64 "
"2008","  93.99 ","  66.98 ","  44.75 ","  10.07 "
"2009","  94.37 ","  67.40 ","  45.06 ","  10.30 "
"2010","  94.72 ","  67.62 ","  45.48 ","  11.01 "
"2011","  90.98 ","  68.22 ","  47.93 ","  12.56 "
"2012","  92.47 ","  70.82 ","  51.77 ","  13.48 "
"2013","  95.52 ","  73.73 ","  54.12 ","  18.08 "
"2014","  96.37 ","  77.43 ","  59.24 ","  20.18 "
"2015","  96.20 ","  77.45 ","  59.46 ","  17.34 "
"2016","  96.71 ","  77.89 ","  59.85 ","  17.91 "
"2017","  97.14 ","  78.30 ","  60.19 ","  18.62 "
"2018","  97.48 ","  78.75 ","  60.53 ","  18.59 "
"2019","  97.58 ","  79.35 ","  60.70 ","  18.85 "
"2020","  97.65 ","  80.02 ","  61.03 ","  19.32 "
"2021","  97.72 ","  80.47 ","  61.47 ","  19.59 "
"2022","  97.78 ","  80.82 ","  61.73 ","  20.84 "
