"Tahun","Usia 25-29(Male)","Usia 25-29(Female)"
"1960","8.29E+14","8.42E+14"
"1961","8.24E+14","8.41E+14"
"1962","8.20E+14","8.39E+14"
"1963","8.14E+14","8.35E+14"
"1964","8.06E+14","8.30E+14"
"1965","7.94E+14","8.22E+14"
"1966","7.78E+14","8.11E+13"
"1967","7.61E+14","7.97E+14"
"1968","7.43E+14","7.83E+13"
"1969","7.26E+14","7.68E+14"
"1970","7.09E+14","7.53E+14"
"1971","6.94E+14","7.39E+14"
"1972","6.80E+14","7.25E+14"
"1973","6.68E+14","7.10E+14"
"1974","6.60E+14","6.95E+14"
"1975","6.55E+13","6.82E+14"
"1976","6.55E+14","6.72E+14"
"1977","6.61E+14","6.69E+14"
"1978","6.73E+14","6.74E+13"
"1979","6.88E+14","6.84E+14"
"1980","7.05E+14","7.00E+14"
"1981","7.22E+14","7.17E+13"
"1982","7.40E+14","7.34E+13"
"1983","7.57E+14","7.51E+14"
"1984","7.74E+14","7.67E+13"
"1985","7.91E+14","7.84E+14"
"1986","8.08E+14","8.00E+14"
"1987","8.24E+14","8.16E+14"
"1988","8.38E+13","8.30E+14"
"1989","8.50E+14","8.42E+14"
"1990","8.61E+14","8.53E+13"
"1991","8.71E+14","8.63E+14"
"1992","8.80E+14","8.72E+14"
"1993","8.86E+14","8.79E+13"
"1994","8.92E+14","8.84E+14"
"1995","8.96E+14","8.88E+14"
"1996","8.98E+14","8.90E+14"
"1997","8.99E+14","8.91E+14"
"1998","9.00E+14","8.91E+14"
"1999","9.00E+14","8.91E+14"
"2000","9.00E+12","8.91E+14"
"2001","9.01E+14","8.90E+14"
"2002","9.01E+14","8.89E+14"
"2003","9.01E+14","8.88E+14"
"2004","9.02E+14","8.88E+14"
"2005","9.04E+14","8.87E+14"
"2006","9.04E+14","8.86E+14"
"2007","9.04E+14","8.84E+14"
"2008","9.02E+14","8.80E+14"
"2009","8.98E+14","8.74E+14"
"2010","8.89E+14","8.64E+13"
"2011","8.75E+14","8.49E+14"
"2012","8.59E+14","8.32E+14"
"2013","8.43E+14","8.16E+14"
"2014","8.29E+14","8.01E+13"
"2015","8.16E+14","7.88E+14"
"2016","8.08E+13","7.80E+14"
"2017","8.02E+14","7.74E+14"
"2018","7.95E+14","7.67E+14"
"2019","7.89E+14","7.62E+14"
"2020","7.87E+14","7.59E+14"
"2021","7.87E+14","7.59E+14"
