"Tahun","Ketergantungan Usia Tua","Ketergantungan Usia Muda"
"1960","4.23E+14","6.88E+14"
"1961","4.38E+14","6.96E+14"
"1962","4.52E+14","7.06E+14"
"1963","4.67E+14","7.18E+14"
"1964","4.82E+14","7.30E+14"
"1965","4.95E+14","7.44E+14"
"1966","5.09E+14","7.57E+14"
"1967","5.25E+14","7.67E+14"
"1968","5.41E+14","7.75E+14"
"1969","5.56E+14","7.80E+14"
"1970","5.70E+14","7.82E+14"
"1971","5.83E+14","7.83E+14"
"1972","5.95E+14","7.82E+14"
"1973","6.06E+14","7.79E+14"
"1974","6.17E+14","7.74E+14"
"1975","6.27E+14","7.68E+14"
"1976","6.35E+14","7.60E+14"
"1977","6.43E+14","7.52E+13"
"1978","6.49E+13","7.43E+14"
"1979","6.54E+14","7.33E+14"
"1980","6.57E+14","7.23E+14"
"1981","6.59E+14","7.12E+14"
"1982","6.59E+14","7.00E+14"
"1983","6.59E+14","6.89E+13"
"1984","6.58E+14","6.77E+14"
"1985","6.58E+14","6.64E+14"
"1986","6.58E+14","6.50E+14"
"1987","6.60E+14","6.35E+14"
"1988","6.62E+14","6.21E+14"
"1989","6.66E+14","6.08E+14"
"1990","6.71E+13","5.94E+12"
"1991","6.78E+14","5.81E+14"
"1992","6.87E+14","5.67E+14"
"1993","6.97E+14","5.54E+14"
"1994","7.07E+14","5.41E+14"
"1995","7.18E+14","5.29E+14"
"1996","7.30E+14","5.17E+14"
"1997","7.41E+14","5.06E+14"
"1998","7.53E+14","4.95E+14"
"1999","7.65E+14","4.85E+14"
"2000","7.78E+14","4.76E+14"
"2001","7.92E+14","4.68E+14"
"2002","8.07E+14","4.61E+14"
"2003","8.21E+14","4.54E+14"
"2004","8.35E+14","4.47E+14"
"2005","8.47E+14","4.42E+14"
"2006","8.59E+14","4.37E+14"
"2007","8.70E+14","4.32E+14"
"2008","8.80E+14","4.29E+14"
"2009","8.88E+14","4.25E+14"
"2010","8.96E+13","4.21E+14"
"2011","9.02E+14","4.17E+14"
"2012","9.08E+14","4.13E+14"
"2013","9.13E+14","4.09E+14"
"2014","9.18E+14","4.05E+14"
"2015","9.24E+14","4.01E+14"
"2016","9.32E+14","3.97E+14"
"2017","9.44E+13","3.93E+14"
"2018","9.59E+14","3.89E+14"
"2019","9.78E+14","3.85E+14"
"2020","9.93E+14","3.81E+14"
"2021","1.00E+14","3.76E+14"
