"Tahun","Usia 10 tahun keatas","Usia 15 tahun keatas","Usia 15-44 tahun","Usia 45 tahun keatas"
"1994","  12.74 ","  14.84 ","  6.90 ","  36.06 "
"1995","  13.74 ","  15.95 ","  7.45 ","  37.80 "
"1996","  12.65 ","  14.66 ","  6.89 ","  34.54 "
"1997","  10.93 ","  12.59 ","  5.54 ","  31.00 "
"1998","  10.58 ","  12.11 ","  5.15 ","  29.74 "
"1999","  10.21 ","  11.63 ","  4.63 ","  28.83 "
"2000","  10.08 ","  11.42 ","  4.50 ","  28.54 "
"2001","  10.73 ","  12.11 ","  4.78 ","  30.31 "
"2002","  9.29 ","  10.49 ","  3.75 ","  26.84 "
"2003","  9.07 ","  10.21 ","  3.88 ","  25.43 "
"2004","  8.53 ","  9.62 ","  3.30 ","  24.87 "
"2005","  8.09 ","  9.09 ","  3.09 ","  22.83 "
"2006","  7.61 ","  8.55 ","  2.89 ","  21.09 "
"2007","  7.26 ","  8.13 ","  2.96 ","  18.94 "
"2008","  6.95 ","  7.81 ","  1.95 ","  19.59 "
"2009","  6.59 ","  7.42 ","  1.80 ","  18.68 "
"2010","  6.34 ","  7.09 ","  1.71 ","  18.25 "
"2011","  6.80 ","  7.56 ","  2.31 ","  18.15 "
"2012","  6.28 ","  7.03 ","  2.03 ","  17.17 "
"2013","  5.46 ","  6.08 ","  1.61 ","  15.15 "
"2014","  4.39 ","  4.88 ","  1.24 ","  12.25 "
"2015","  4.27 ","  4.78 ","  1.10 ","  11.89 "
"2016","  4.19 ","  4.62 ","  1.00 ","  11.47 "
"2017","  4.08 ","  4.50 ","  0.94 ","  11.08 "
"2018","  3.93 ","  4.34 ","  0.86 ","  10.60 "
"2019","  3.70 ","  4.10 ","  0.76 ","  9.92 "
"2020","  3.62 ","  4.00 ","  0.80 ","  9.46 "
"2021","  3.63 ","  3.96 ","  0.73 ","  9.24 "
"2022","  3.34 ","  3.65 ","  0.75 ","  8.48 "
