"Tahun","BCG","DPT","Polio","Campak"
"1995","72.33","72.42","70.25","53.92"
"1996","75.27","77.48","84.48","51.88"
"1997","79.99","81.00","87.53","62.89"
"1998","85.44","83.00","89.69","71.52"
"1999","85.67","83.18","85.94","65.05"
"2000","n.a","n.a","n.a","n.a"
"2001","n.a","n.a","n.a","n.a"
"2003","n.a","n.a","n.a","n.a"
"2004","88.35","86.51","88.08","77.17"
"2005","87.34","84.63","89.16","72.53"
"2006","89.30","87.11","92.22","78.23"
"2007","89.40","86.44","89.67","75.90"
"2008","90.00","86.09","87.25","75.47"
"2009","91.89","89.05","89.88","77.23"
"2010","92.73","89.79","90.56","77.67"
"2011","94.85","89.07","89.34","76.88"
"2011","91.89","89.11","89.41","77.00"
"2012","92.89","90.02","90.26","77.95"
"2012","93.01","90.15","90.37","78.10"
"2013","93.09","90.25","90.17","77.93"
"2013","93.19","90.38","90.29","78.10"
"2014","95.44","93.59","90.71","80.06"
"2015","89.21","83.48","89,00","71.63"
"2016","90.00","84.80","90.54","72.75"
"2017","89.11","83.77","88.83","70.67"
"2018","-","-","-","-"
"2019","88.78","83.33","88.51","67.32"
"2020","89.44","84.56","89.16","67.82"
"2021","88.07","83.81","88.12","68.67"
"2022","90.13","86.50","83.90","70.14"
