"Tahun","Perempuan","Laki-laki"
"1960","345286","400182"
"1961","340213","392065"
"1962","333573","380677"
"1963","328357","377087"
"1964","31433","371672"
"1965","374028","564481"
"1966","340251","409419"
"1967","29611","356269"
"1968","291114","352419"
"1969","283722","344736"
"1970","27718","338992"
"1971","271297","334619"
"1972","265319","325437"
"1973","259719","319581"
"1974","255144","313607"
"1975","249886","309146"
"1976","243392","305162"
"1977","236746","300189"
"1978","234516","29389"
"1979","228542","284348"
"1980","221354","276635"
"1981","221195","270976"
"1982","214418","261676"
"1983","206644","258524"
"1984","206659","250426"
"1985","200918","242483"
"1986","196543","240499"
"1987","20023","237941"
"1988","198305","241716"
"1989","1934","23741"
"1990","189582","233257"
"1991","190739","228746"
"1992","18401","221945"
"1993","176179","221588"
"1994","18041","21788"
"1995","177014","216102"
"1996","180674","218659"
"1997","175747","217115"
"1998","178044","214953"
"1999","172059","219709"
"2000","176373","214959"
"2001","169887","216339"
"2002","170367","208586"
"2003","163172","211662"
"2004","19481","22747"
"2005","169141","209773"
"2006","161814","211833"
"2007","163216","206339"
"2008","166068","208296"
"2009","159579","209654"
"2010","162016","205065"
"2011","162174","204679"
"2012","160869","205062"
"2013","152461","206261"
"2014","152838","200078"
"2015","152107","19915"
"2016","151951","199765"
"2017","151493","199216"
"2018","14361","193961"
"2019","142276","192873"
"2020","16138","21964"
"","",""
"","",""
"","",""
"","",""
"","",""
